Actual_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_Type,Technology,noise cancellation,anc,waterproof,fast charging,bass,enc,playtime,gaming
2599.0,PTron,Bassbuds Duo,Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
4499.0,Boult,ProBass EQCharge,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,Yes,Yes,Yes,Yes,No
2499.0,Noise,Nerve,Stone Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
1399.0,ZEBRONICS,Zeb-Thunder(Blue),Blue,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2499.0,Noise,NNB-31,Forest Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
1290.0,boAt,Bassheads 103 Black,Black,In Ear,Wired,headset,Unknown,No,No,No,No,Yes,No,No,No
3990.0,boAt,Rockerz 255 Pro+ with ASAP Charge and upto 4 Hours Playback,Teal Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
7499.0,Skullcandy,S2DMW-P754,Orange,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
3199.0,PTron,Basspods Flare,Blue,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,No,Yes,Yes
2990.0,boAt,Rockerz 255 Arc,Cosmos Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2990.0,boAt,Rockerz 255 Arc,Fern Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4999.0,Boult,Airbass Z40,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
12999.0,Skullcandy,Indy Evo,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
1399.0,ZEBRONICS,ZEB-THUNDER,Red,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2999.0,Noise,Buds VS304,Jet Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
399.0,ZEBRONICS,Wired Headset,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
4990.0,boAt,Rockerz 333ANC,Moon Grey,In Ear,Bluetooth,headset,Unknown,Yes,Yes,No,No,No,No,No,No
399.0,ZEBRONICS,ZEB-BRO Headset with Mic,White,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
2499.0,Skullcandy,S2JPW-M003,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
1399.0,ZEBRONICS,Zeb Yoga 4,"Black, Yellow",In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
399.0,ZEBRONICS,ZEB-BRO,Red,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
2999.0,Boult,Airbass Z35,Graphite Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
5999.0,Boult,xpods pro,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
2990.0,boAt,Airdopes 131 Pro,Royal Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3799.0,PTron,Basspods 581,Black & Yellow,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
8999.0,Boult,Air Bass Power Buds,Black,In Ear,Bluetooth,headset,Unknown,No,No,Yes,No,Yes,No,Yes,No
2999.0,Wings,Phantom 205 Neck band with touch controls,Black,In Ear,Bluetooth,headset,bluetooth 5.3,No,No,No,No,No,No,No,Yes
1999.0,Portronics,Harmonics One Sports,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
999.0,Skullcandy,S2DUYK-441 JIB,White,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
5999.0,Boult,Gearpods Wireless Earphones,Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
3990.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Luscious Black,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4990.0,boAt,Rockerz 333ANC,Moon Grey,In Ear,Bluetooth,headset,Unknown,Yes,Yes,No,No,No,No,No,No
4999.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,Yes
2999.0,Portronics,Harmonics 250 Fast Charging with 60Hrs Playtime,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,Yes,No,No,Yes,No
1999.0,Portronics,Harmonics Z2 Wireless Stereo,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
3999.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Snow White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,No
2499.0,PTron,InTunes Beats,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
13999.0,Skullcandy,"Push Active True Wireless Earbuds, Voice Control",Blue/Grey,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
2999.0,Wings,Phantom 410,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,Yes,Yes
2999.0,Wings,Phantom 200,Orange,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,Yes,No,Yes
5999.0,Boult,AirBass GearPods,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
2499.0,Noise,Nerve Neckband,Carbon Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
2999.0,Boult,Airbass Z35,Sunset Grey,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
3999.0,Portronics,Harmonics Twins 27 ANC + ENC Noise Cancelling Smart TWS Earbuds,Black,In Ear,Bluetooth,earbuds,Unknown,No,Yes,No,No,No,Yes,No,No
3490.0,boAt,Rockerz 510 / Rockerz 518,Viper Green,On Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
