brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
Xiaomi,4.65,49990,Snapdragon,8.0,3.2,8.0,256.0,10000.0,120.0,Fast,12.4,2032x3048,2032.0,3048.0,295.4225883767268,144.0,32.0,0.0,50.0,2.0,Android,14.0,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.75,21829,Snapdragon,8.0,2.2,4.0,64.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.8323156085077,90.0,5.0,0.0,8.0,0.0,Android,13.0,1TB,Unknown,5G,Wi-Fi
Lenovo,4.6,18499,Snapdragon,8.0,3.2,8.0,128.0,10200.0,20.0,Fast,12.7,2944x1840,2944.0,1840.0,273.3626028816402,144.0,13.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Xiaomi,4.0,28999,Snapdragon,8.0,3.2,8.0,256.0,8840.0,33.0,Fast,11.0,1800x2880,1800.0,2880.0,308.7484734127616,144.0,8.0,0.0,13.0,0.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Lenovo,4.7,20499,Snapdragon,8.0,3.2,8.0,256.0,10200.0,20.0,Fast,12.7,2944x1840,2944.0,1840.0,273.3626028816402,144.0,13.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Samsung,4.75,23399,Snapdragon,8.0,2.2,8.0,128.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.8323156085077,90.0,5.0,0.0,8.0,0.0,Android,13.0,1TB,Unknown,5G,Wi-Fi
OnePlus,4.6,21999,Helio,8.0,2.2,8.0,128.0,8000.0,33.0,Fast,11.35,1720x2408,1720.0,2408.0,260.72245743283383,90.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Xiaomi,4.7,12599,Helio,8.0,2.2,4.0,128.0,8000.0,18.0,Fast,10.61,1200x2000,1200.0,2000.0,219.82853514968144,90.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Apple,4.7,25999,Bionic,6.0,2.65,0.0,64.0,0.0,0.0,Unknown,10.2,2160x1620,2160.0,1620.0,264.7058823529412,0.0,12.0,0.0,8.0,0.0,iOS,15.0,Not_available,Unknown,not_available,Wi-Fi
Honor,4.65,16990,Snapdragon,8.0,2.2,8.0,128.0,8300.0,35.0,Fast,12.1,1600x2560,1600.0,2560.0,249.4937158891003,120.0,8.0,0.0,13.0,0.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Xiaomi,4.0,34990,Snapdragon,8.0,3.2,8.0,128.0,10000.0,80.0,Fast,10.0,1800x2880,1800.0,2880.0,339.62332075403776,144.0,32.0,0.0,50.0,2.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.0,42999,Exynos,8.0,2.4,6.0,128.0,8000.0,45.0,Fast,10.9,1440x2304,1440.0,2304.0,249.26482257177082,90.0,12.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Xiaomi,4.3,26999,Snapdragon,8.0,3.2,6.0,128.0,8840.0,33.0,Fast,11.0,1800x2880,1800.0,2880.0,308.7484734127616,144.0,8.0,0.0,13.0,0.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.15,19999,Snapdragon,8.0,2.2,8.0,128.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.8323156085077,90.0,5.0,0.0,8.0,0.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
Apple,4.35,37900,Bionic,6.0,3.1,0.0,64.0,0.0,0.0,Unknown,10.9,1640x2360,1640.0,2360.0,263.65893499722654,0.0,12.0,0.0,12.0,0.0,iPadOS,16.0,Not_available,Unknown,not_available,Wi-Fi
Motorola,4.75,13999,Snapdragon,8.0,2.4,4.0,64.0,7700.0,20.0,Fast,10.6,1200x2000,1200.0,2000.0,220.0359205602,0.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
OnePlus,4.6,36921,Dimensity,8.0,3.05,8.0,128.0,9510.0,67.0,Fast,11.61,2000x2800,2000.0,2800.0,296.37640885590446,144.0,8.0,0.0,13.0,0.0,Android,13.1,Unknown,Unknown,not_available,Wi-Fi
OnePlus,4.15,23999,Helio,8.0,2.2,8.0,256.0,8000.0,33.0,Fast,11.35,1720x2408,1720.0,2408.0,260.72245743283383,90.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Samsung,4.25,53536,Exynos,8.0,2.4,8.0,128.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.45757760146074,120.0,12.0,0.0,8.0,8.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Realme,4.1,19429,Helio,8.0,2.2,6.0,128.0,8360.0,33.0,Fast,11.5,1200x2000,1200.0,2000.0,202.81571808157565,120.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Xiaomi,4.6,29990,Snapdragon,8.0,3.19,8.0,128.0,8600.0,67.0,Fast,11.0,1800x2880,1800.0,2880.0,308.7484734127616,144.0,20.0,0.0,50.0,2.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.1,37999,Snapdragon,8.0,2.2,6.0,128.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.45757760146074,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Lenovo,4.3,28999,Dimensity,8.0,2.0,8.0,256.0,10200.0,30.0,Fast,12.7,2944x1840,2944.0,1840.0,273.3626028816402,0.0,8.0,0.0,13.0,0.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
Samsung,4.45,133999,Snapdragon,8.0,3.2,12.0,512.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.0077693925176,120.0,12.0,12.0,13.0,8.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Xiaomi,4.65,16999,Helio,8.0,2.2,6.0,128.0,8000.0,18.0,Fast,10.61,1200x2000,1200.0,2000.0,219.82853514968144,90.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Motorola,4.2,16199,Helio,8.0,2.05,4.0,64.0,7700.0,20.0,Fast,11.0,1200x2000,1200.0,2000.0,212.0346143580109,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Xiaomi,4.65,9999,Snapdragon,8.0,2.4,4.0,128.0,8000.0,10.0,Fast,11.0,1200x1920,1200.0,1920.0,205.8323156085077,90.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Samsung,4.65,14999,Helio,8.0,2.2,4.0,64.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38401080367268,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Apple,4.25,109990,Apple,8.0,0.0,8.0,256.0,7938.0,18.0,Fast,11.0,1668x2388,1668.0,2388.0,264.8056826935118,0.0,12.0,0.0,12.0,10.0,iOS,16.0,Unknown,Single Sim,5G,Wi-Fi
Motorola,4.7,17999,Helio,8.0,2.05,6.0,128.0,7700.0,20.0,Fast,11.0,1200x2000,1200.0,2000.0,212.0346143580109,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Apple,4.25,50499,Apple,8.0,0.0,0.0,64.0,0.0,0.0,Unknown,10.9,1640x2360,1640.0,2360.0,263.65893499722654,0.0,12.0,0.0,12.0,0.0,iOS,15.0,Not_available,Unknown,not_available,Wi-Fi
Samsung,4.1,29999,Snapdragon,8.0,2.2,4.0,64.0,8040.0,25.0,Fast,10.5,1200x2000,1200.0,2000.0,222.13150075601143,0.0,8.0,0.0,12.0,0.0,Unknown,0.0,Supported,Unknown,not_available,Wi-Fi
iQOO,4.2,20990,Snapdragon,8.0,3.2,8.0,256.0,8500.0,44.0,Fast,11.5,1840x2800,1840.0,2800.0,291.3445786625659,144.0,5.0,0.0,8.0,0.0,Android,13.0,Not_available,Unknown,Unknown,Wi-Fi
Lenovo,4.75,18999,Snapdragon,8.0,2.2,4.0,128.0,7700.0,20.0,Fast,10.61,1200x2000,1200.0,2000.0,219.82853514968144,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Honor,4.4,15999,Snapdragon,8.0,2.8,4.0,128.0,7250.0,0.0,Fast,11.5,1200x2000,1200.0,2000.0,202.81571808157565,0.0,5.0,0.0,5.0,0.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
OnePlus,4.7,39387,Dimensity,8.0,3.05,12.0,256.0,9510.0,67.0,Fast,11.61,2000x2800,2000.0,2800.0,296.37640885590446,144.0,8.0,0.0,13.0,0.0,Android,13.1,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.45,83990,Snapdragon,8.0,3.2,8.0,128.0,8400.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.4430874780103,120.0,12.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Samsung,4.2,23999,Snapdragon,8.0,2.3,4.0,128.0,7040.0,15.0,Fast,10.4,1200x2000,1200.0,2000.0,224.26738057097307,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,Supported,Unknown,not_available,Wi-Fi
Apple,4.65,74999,Apple,8.0,0.0,8.0,128.0,7538.0,18.0,Fast,11.0,1668x2388,1668.0,2388.0,264.8056826935118,0.0,12.0,0.0,12.0,10.0,iPadOS,16.0,Unknown,Unknown,not_available,Wi-Fi
Realme,4.35,27999,Snapdragon,8.0,2.2,6.0,128.0,8340.0,33.0,Fast,10.95,1200x2000,1200.0,2000.0,213.00280894412057,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,512GB,Dual Sim,5G,Wi-Fi
Oppo,4.6,13999,Snapdragon,8.0,2.4,4.0,128.0,7100.0,18.0,Fast,10.36,2000x1200,2000.0,1200.0,225.13327779325485,0.0,8.0,0.0,8.0,0.0,Unknown,0.0,Unknown,Dual Sim,not_available,Wi-Fi
Samsung,4.6,21999,Snapdragon,8.0,2.3,4.0,64.0,7040.0,15.0,Fast,10.4,1200x2000,1200.0,2000.0,224.26738057097307,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,Supported,Unknown,not_available,Wi-Fi
Realme,4.3,24999,Snapdragon,8.0,3.2,8.0,256.0,8360.0,18.0,Fast,10.4,1080x2560,1080.0,2560.0,267.16238441249624,120.0,8.0,0.0,8.0,0.0,Unknown,0.0,Supported,Dual Sim,5G,Wi-Fi
Samsung,4.3,14999,Tiger,8.0,2.0,4.0,64.0,7040.0,15.0,Fast,10.5,1200x1920,1200.0,1920.0,215.63385444700808,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Samsung,4.1,89999,Snapdragon,8.0,3.3,8.0,128.0,9400.0,45.0,Fast,11.5,1600x2560,1600.0,2560.0,262.5107793267925,120.0,12.0,0.0,16.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Vivo,4.45,34990,Dimensity,8.0,3.25,8.0,128.0,10500.0,44.0,Fast,12.4,1968x2800,1968.0,2800.0,276.0023827733487,144.0,8.0,0.0,13.0,2.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
OnePlus,4.5,19999,Helio,8.0,2.2,8.0,128.0,8000.0,33.0,Fast,11.35,1720x2408,1720.0,2408.0,260.72245743283383,90.0,8.0,0.0,8.0,0.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
Samsung,4.35,36998,Exynos,8.0,2.4,6.0,128.0,8000.0,45.0,Fast,10.9,1440x2304,1440.0,2304.0,249.26482257177082,90.0,12.0,0.0,8.0,0.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
Lenovo,4.15,20999,Snapdragon,8.0,2.2,6.0,128.0,7700.0,20.0,Fast,10.61,1200x2000,1200.0,2000.0,219.82853514968144,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Vivo,4.6,20499,Snapdragon,8.0,3.2,8.0,128.0,8500.0,44.0,Fast,11.5,1840x2800,1840.0,2800.0,291.3445786625659,144.0,5.0,0.0,8.0,0.0,Android,13.0,Not_available,Unknown,Unknown,Wi-Fi
iQOO,4.55,29999,Dimensity,8.0,3.2,8.0,128.0,10000.0,44.0,Fast,12.1,1968x2800,1968.0,2800.0,282.8454170569854,144.0,8.0,0.0,13.0,2.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Apple,4.45,53900,Bionic,6.0,3.1,0.0,64.0,0.0,0.0,Unknown,10.9,1640x2360,1640.0,2360.0,263.65893499722654,0.0,12.0,0.0,12.0,0.0,iPadOS,16.0,Not_available,Single Sim,5G,Wi-Fi
Xiaomi,4.6,13999,Helio,8.0,2.2,3.0,64.0,8000.0,18.0,Fast,10.61,1200x2000,1200.0,2000.0,219.82853514968144,90.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Xiaomi,4.4,21499,Snapdragon,8.0,2.4,4.0,64.0,0.0,0.0,Unknown,8.0,1080x2340,1080.0,2340.0,322.15097392371797,90.0,16.0,0.0,48.0,0.0,Unknown,0.0,Supported,Unknown,5G,Wi-Fi
Lenovo,4.4,22899,Snapdragon,8.0,1.8,4.0,64.0,7000.0,0.0,Unknown,10.1,1200x1920,1200.0,1920.0,224.17380907857276,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Nubia,4.55,99900,Snapdragon,8.0,3.2,0.0,256.0,10000.0,66.0,Fast,12.1,1600x2560,1600.0,2560.0,249.4937158891003,144.0,8.0,8.0,13.0,13.0,Android,14.0,Supported,Unknown,Unknown,Wi-Fi
Samsung,4.25,17950,Snapdragon,8.0,2.2,4.0,64.0,7040.0,15.0,Fast,11.0,1200x1920,1200.0,1920.0,205.8323156085077,90.0,5.0,0.0,8.0,0.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
Samsung,4.75,43999,Exynos,8.0,2.4,8.0,128.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.45757760146074,120.0,12.0,0.0,8.0,8.0,Android,13.0,1TB,Unknown,Unknown,Wi-Fi
Samsung,4.15,61999,Exynos,8.0,2.4,12.0,256.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.45757760146074,120.0,12.0,0.0,8.0,8.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Motorola,4.5,15999,Snapdragon,8.0,2.4,4.0,128.0,7700.0,20.0,Fast,10.6,1200x2000,1200.0,2000.0,220.0359205602,0.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Motorola,4.6,13999,Snapdragon,8.0,2.4,4.0,128.0,7700.0,20.0,Fast,10.6,1200x2000,1200.0,2000.0,220.0359205602,0.0,8.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Xiaomi,4.55,43999,Snapdragon,8.0,3.2,8.0,256.0,10000.0,67.0,Fast,14.0,1800x2880,1800.0,2880.0,242.5880862528841,120.0,20.0,0.0,50.0,0.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.3,88990,Snapdragon,8.0,3.2,12.0,256.0,8400.0,45.0,Fast,11.0,1600x2560,1600.0,2560.0,274.4430874780103,120.0,12.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Realme,4.55,22999,Helio,8.0,2.2,8.0,256.0,8360.0,33.0,Fast,11.5,1200x2000,1200.0,2000.0,202.81571808157565,120.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Lenovo,4.65,8999,Helio,8.0,2.0,3.0,32.0,5000.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Lenovo,4.15,96990,Dimensity,8.0,3.05,12.0,256.0,12300.0,68.0,Fast,14.5,1876x3000,1876.0,3000.0,244.01882931577654,120.0,13.0,0.0,13.0,0.0,Unknown,0.0,Supported,Unknown,not_available,Wi-Fi
Honor,4.65,8999,Helio,8.0,2.0,3.0,32.0,5100.0,22.5,Fast,10.1,1920x1200,1920.0,1200.0,224.17380907857276,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,512GB,Unknown,not_available,Wi-Fi
Lenovo,4.15,17999,Helio,8.0,2.2,6.0,128.0,0.0,0.0,Unknown,11.5,1200x2000,1200.0,2000.0,202.81571808157565,120.0,8.0,0.0,13.0,0.0,Android,12.0,512GB,Single Sim,not_available,Wi-Fi
Nokia,4.7,11999,Tiger,8.0,2.0,4.0,64.0,8200.0,18.0,Fast,10.36,1200x2000,1200.0,2000.0,225.13327779325485,0.0,8.0,0.0,8.0,0.0,Unknown,0.0,512GB,Single Sim,not_available,Wi-Fi
Vivo,4.4,28990,Snapdragon,8.0,3.2,8.0,128.0,8040.0,44.0,Fast,11.0,1600x2560,1600.0,2560.0,274.4430874780103,120.0,8.0,0.0,13.0,8.0,Android,12.0,Unknown,Unknown,not_available,Wi-Fi
Samsung,4.55,32499,Snapdragon,8.0,2.4,4.0,64.0,10090.0,45.0,Fast,12.4,1600x2560,1600.0,2560.0,243.45757760146074,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Apple,4.6,38990,Bionic,6.0,2.65,0.0,64.0,0.0,0.0,Unknown,10.2,2160x1620,2160.0,1620.0,264.7058823529412,0.0,12.0,0.0,8.0,0.0,iOS,15.0,Not_available,Single Sim,not_available,Wi-Fi
Xiaomi,4.4,39999,Snapdragon,8.0,3.2,8.0,256.0,8600.0,67.0,Fast,11.0,1600x2560,1600.0,2560.0,274.4430874780103,120.0,8.0,0.0,50.0,5.0,Android,11.0,Unknown,Single Sim,5G,Wi-Fi
Samsung,4.5,89999,Snapdragon,8.0,3.0,12.0,256.0,11200.0,45.0,Fast,14.6,1848x2960,1848.0,2960.0,239.0077693925176,120.0,12.0,12.0,13.0,6.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Samsung,4.15,30999,Exynos,8.0,2.3,4.0,64.0,7040.0,15.0,Fast,10.4,1200x2000,1200.0,2000.0,224.26738057097307,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
Lenovo,4.5,15990,Snapdragon,8.0,2.2,4.0,128.0,7700.0,20.0,Fast,10.61,1200x2000,1200.0,2000.0,219.82853514968144,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,1TB,Single Sim,5G,Wi-Fi
Xiaomi,4.4,32990,Snapdragon,8.0,3.0,8.0,256.0,9820.0,45.0,Fast,11.0,1800x3200,1800.0,3200.0,333.7738136488331,144.0,8.0,0.0,13.0,0.0,Android,13.0,Unknown,Unknown,not_available,Wi-Fi
iKall,4.5,3499,Unknown,0.0,0.0,2.0,16.0,3000.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,0.3,0.0,2.0,0.0,Android,6.0,Unknown,Dual Sim,not_available,Wi-Fi
Apple,4.15,69999,Apple,8.0,0.0,0.0,64.0,0.0,0.0,Unknown,10.9,1640x2360,1640.0,2360.0,263.65893499722654,0.0,12.0,0.0,12.0,0.0,iOS,17.0,Not_available,Single Sim,5G,Wi-Fi
